"","site","latitude","longitude","easting","northing","region","rainfall_total","rainfall_total_avg_past5years","rainfall_total_medianhistoric","historic_ratio","summary_at"
"1","GW 2166 - Tui Close",-41.12075266,173.01484255,1601246.00023027,5447838.00041189,"nelsontasman",314,111.232,90.39,3.47383560128333,"20220830T161515"
"2","GW 24035 - Mapua",-41.25059065,173.09544987,1607997.00035303,5433419.99989191,"nelsontasman",256,144.072,159.94,1.60060022508441,"20220830T161515"
"3","GW 8110 - Weka Rd",-41.18628389,173.02592283,1602173.99997577,5440563.00005561,"nelsontasman",303,110.882352941176,93.01,3.25771422427696,"20220830T161515"
"4","HY Anatoki at Happy Sams",-40.88693155,172.74830592,1578796.00019249,5473763.99967267,"nelsontasman",510.47,313.160625,286.925,1.77910603816328,"20220830T161515"
"5","HY Anatoki at Paradise",-40.91106635,172.6177027,1567804.99987288,5471044.99989747,"nelsontasman",950,599.501538461538,617.83,1.53763980382953,"20220830T161515"
"6","HY Aorere at Devils Boots",-40.74582036,172.62766457,1568565.99986127,5489392.00006313,"nelsontasman",412.01,231.5,237.85,1.73222619297877,"20220830T161515"
"7","HY Aorere at Perry Saddle",-40.89514547,172.42941683,1551936.99964452,5472726.00012321,"nelsontasman",742.5,576.212727272727,524.51,1.41560694743666,"20220830T161515"
"8","HY Aorere at Salisbury Br",-40.80248184,172.53289914,1560598.99960814,5483064.00026478,"nelsontasman",351,418.446666666667,417.34,0.841040877941247,"20220830T161515"
"9","HY Baton at Baton Flats",-41.31974937,172.72399398,1576900.00038296,5425710.0003619,"nelsontasman",373,152.265428571429,162.67,2.29298579947132,"20220830T161515"
"10","HY Brook at Third House",-41.32522478,173.32481811,1627182.99999262,5425087.99968989,"nelsontasman",333,165.856451612903,137.48,2.42217049752691,"20220830T161515"
"11","HY Buller at Longford",-41.76382361,172.3885712,1549176.00006055,5376265.00001659,"nelsontasman",225.5,154.652142857143,128.11,1.7602060729061,"20220830T161515"
"12","HY Collingwood at Repeater",-40.68401556,172.68320261,1573230.00027232,5496270.99954556,"nelsontasman",417.82,258.43,264.06,1.5822919033553,"20220830T161515"
"13","HY Kainui Dam",-41.5108789,172.9542474,1596182.00033782,5404527.0000144,"nelsontasman",211.5,111.925555555556,95.135,2.22315656698376,"20220830T161515"
"14","HY Lee at Trig F",-41.47918076,173.18828712,1615720.00009533,5408029.99980412,"nelsontasman",327,162.646666666667,125.13,2.61328218652601,"20220830T161515"
"15","HY Little Devil at Tarn",-40.98132244,172.65797463,1571226.99994536,5463259.99974976,"nelsontasman",802.5,340.423333333333,323.52,2.48052670623145,"20220830T161515"
"16","HY Maitai at Forks",-41.29309293,173.37000785,1630979.99961959,5428639.99945299,"nelsontasman",320,141.31619047619,118.27,2.70567345903441,"20220830T161515"
"17","HY Matakitaki at Horse Terrace Br",-42.00867992,172.35683832,1546742.0000138,5349059.99956322,"nelsontasman",230.5,195.626666666667,193.7,1.18998451213216,"20220830T161515"
"18","HY Motueka at Gorge",-41.63297696,172.91346089,1592792.00040098,5390968.99983397,"nelsontasman",235,104.393235294118,91.31,2.57365020260651,"20220830T161515"
"19","HY Motueka at Parker St",-41.10566512,172.9996189,1599968.00014723,5449512.99955609,"nelsontasman",341.87,205.334,201.45,1.69704641350211,"20220830T161515"
"20","HY Motueka at Red Hills",-41.70016099,173.03765387,1603133.0003336,5383513.00002761,"nelsontasman",235.5,119.415263157895,114.94,2.04889507569167,"20220830T161515"
"21","HY Motueka at Woodmans Bend",-41.12398843,172.95682822,1596375.99965035,5447477.99976986,"nelsontasman",363.37,156.821,125.195,2.90243220575902,"20220830T161515"
"22","HY Motueka at Woodstock",-41.25748375,172.82267643,1585145.00014952,5432643.99979522,"nelsontasman",354.83,131.090285714286,126.59,2.80298601785291,"20220830T161515"
"23","HY Motupiko at Christies",-41.61900492,172.80792179,1583997.9999364,5392505.99960006,"nelsontasman",209.48,102.8575,84.545,2.47773375125673,"20220830T161515"
"24","HY Motupipi at Reillys Bridge",-40.85607621,172.8316055,1585807.00027409,5477206.00034618,"nelsontasman",348,184.5575,180.93,1.92339578842646,"20220830T161515"
"25","HY Moutere at Kellings Rd",-41.25753005,173.00614754,1600514.99990673,5432654.00041794,"nelsontasman",271,104.959180327869,104.54,2.59230916395638,"20220830T161515"
"26","HY Nelson at Founders Park",-41.26167277,173.29556602,1624759.00014697,5432152.00023211,"nelsontasman",225.94,106.973,79.06,2.85782949658487,"20220830T161515"
"27","HY Nelson at Princes Dr",-41.28310651,173.2562315,1621457.0001364,5429782.99973666,"nelsontasman",220.21,91.415625,68.015,3.23766816143498,"20220830T161515"
"28","HY Orphanage at Ngawhatu",-41.32394537,173.23181217,1619399.99994879,5425255.00049325,"nelsontasman",234.58,94.181052631579,74.06,3.16743181204429,"20220830T161515"
"29","HY Richmond Weather at Race Course",-41.3273262,173.1854713,1615521.00034641,5424889.00002845,"nelsontasman",224,98.6925,71.92,3.11457174638487,"20220830T161515"
"30","HY Richmond Weather at TDC Roof",-41.34182694,173.18650448,1615604.00024751,5423279.00006531,"nelsontasman",236.5,89.9128571428571,68,3.47794117647059,"20220830T161515"
"31","HY Riwaka at Takaka Hill",-41.02675142,172.87713449,1589671.00040875,5458266.00027014,"nelsontasman",692.72,232.804651162791,217.46,3.18550538029983,"20220830T161515"
"32","HY Riwaka North at Littles",-41.03639187,172.90792962,1592261.00015207,5457199.000242,"nelsontasman",567,196.423703703704,174.45,3.25021496130696,"20220830T161515"
"33","HY Riwaka South at Moss Bush",-41.05259603,172.91781961,1593094.00013742,5455401.00050675,"nelsontasman",514.09,181.419166666667,173.6,2.96134792626728,"20220830T161515"
"34","HY Roding at Caretakers",-41.35673212,173.26180417,1621899.00004871,5421608.00009504,"nelsontasman",280.5,121.623417721519,116.09,2.4162287880093,"20220830T161515"
"35","HY Tadmor at Mudstone",-41.45071299,172.73628589,1577973.0001952,5411173.99996066,"nelsontasman",257.5,115.616739130435,110.765,2.32474156999052,"20220830T161515"
"36","HY Takaka at Canaan",-40.93986863,172.90820634,1592273.00037921,5467913.99985066,"nelsontasman",700.63,365.688620689655,346.18,2.02388930614131,"20220830T161515"
"37","HY Takaka at Harwoods",-41.02973014,172.79824836,1583039.99976497,5457923.00041379,"nelsontasman",399.12,221.453529411765,204.445,1.9522120863802,"20220830T161515"
"38","HY Takaka at Kotinga",-40.87045465,172.80908077,1583911.99959386,5475605.99962929,"nelsontasman",354.62,188.294516129032,200.1,1.77221389305347,"20220830T161515"
