"","site","latitude","longitude","easting","northing","region","rainfall_total","rainfall_total_avg_past5years","rainfall_total_medianhistoric","historic_ratio","summary_at"
"1","GW 2166 - Tui Close",-41.12075266,173.01484255,1601246.00023027,5447838.00041189,"nelsontasman",231.5,109.8384,113.88,2.03284158763611,"20220901T1615"
"2","GW 8110 - Weka Rd",-41.18628389,173.02592283,1602173.99997577,5440563.00005561,"nelsontasman",200,104.513529411765,114.13,1.75238762814335,"20220901T1615"
"3","HY Anatoki at Happy Sams",-40.88693155,172.74830592,1578796.00019249,5473763.99967267,"nelsontasman",1026.5,330.7853125,313.09,3.27860998434955,"20220901T1615"
"4","HY Anatoki at Paradise",-40.91106635,172.6177027,1567804.99987288,5471044.99989747,"nelsontasman",1341,551.984615384615,616.08,2.17666536813401,"20220901T1615"
"5","HY Aorere at Devils Boots",-40.74582036,172.62766457,1568565.99986127,5489392.00006313,"nelsontasman",601.83,250.440625,247.5,2.43163636363636,"20220901T1615"
"6","HY Aorere at Perry Saddle",-40.89514547,172.42941683,1551936.99964452,5472726.00012321,"nelsontasman",1098,493.922727272727,416.32,2.63739431206764,"20220901T1615"
"7","HY Aorere at Salisbury Br",-40.80248184,172.53289914,1560598.99960814,5483064.00026478,"nelsontasman",932.5,393.501666666667,340.655,2.73737358911509,"20220901T1615"
"8","HY Baton at Baton Flats",-41.31974937,172.72399398,1576900.00038296,5425710.0003619,"nelsontasman",184.5,155.774571428571,154.84,1.19155257039525,"20220901T1615"
"9","HY Brook at Third House",-41.32522478,173.32481811,1627182.99999262,5425087.99968989,"nelsontasman",799,177.708709677419,135.5,5.89667896678967,"20220901T1615"
"10","HY Buller at Longford",-41.76382361,172.3885712,1549176.00006055,5376265.00001659,"nelsontasman",225.5,141.299285714286,134.25,1.67970204841713,"20220901T1615"
"11","HY Collingwood at Repeater",-40.68401556,172.68320261,1573230.00027232,5496270.99954556,"nelsontasman",581.01,257.854545454545,213.87,2.71665030158508,"20220901T1615"
"12","HY Kainui Dam",-41.5108789,172.9542474,1596182.00033782,5404527.0000144,"nelsontasman",180.5,94.3722222222222,98.455,1.8333248692296,"20220901T1615"
"13","HY Lee at Trig F",-41.47918076,173.18828712,1615720.00009533,5408029.99980412,"nelsontasman",508.5,165.424117647059,151.55,3.35532827449687,"20220901T1615"
"14","HY Little Devil at Tarn",-40.98132244,172.65797463,1571226.99994536,5463259.99974976,"nelsontasman",887,333.527333333333,291,3.04810996563574,"20220901T1615"
"15","HY Maitai at Forks",-41.29309293,173.37000785,1630979.99961959,5428639.99945299,"nelsontasman",749,172.857142857143,138.55,5.40599061710574,"20220901T1615"
"16","HY Matakitaki at Horse Terrace Br",-42.00867992,172.35683832,1546742.0000138,5349059.99956322,"nelsontasman",278.5,182.7925,184.14,1.51243618985554,"20220901T1615"
"17","HY Motueka at Gorge",-41.63297696,172.91346089,1592792.00040098,5390968.99983397,"nelsontasman",163.5,112.138285714286,102.5,1.59512195121951,"20220901T1615"
"18","HY Motueka at Parker St",-41.10566512,172.9996189,1599968.00014723,5449512.99955609,"nelsontasman",233,139.042,121.28,1.92117414248021,"20220901T1615"
"19","HY Motueka at Red Hills",-41.70016099,173.03765387,1603133.0003336,5383513.00002761,"nelsontasman",250.5,103.218421052632,96.52,2.59531703273933,"20220901T1615"
"20","HY Motueka at Woodmans Bend",-41.12398843,172.95682822,1596375.99965035,5447477.99976986,"nelsontasman",249.21,132.812,136.17,1.83013879709187,"20220901T1615"
"21","HY Motueka at Woodstock",-41.25748375,172.82267643,1585145.00014952,5432643.99979522,"nelsontasman",190.08,137.098529411765,133.47,1.42414025623736,"20220901T1615"
"22","HY Motupiko at Christies",-41.61900492,172.80792179,1583997.9999364,5392505.99960006,"nelsontasman",177,108.248787878788,104.55,1.69296987087518,"20220901T1615"
"23","HY Motupipi at Reillys Bridge",-40.85607621,172.8316055,1585807.00027409,5477206.00034618,"nelsontasman",601,200.908125,192.18,3.1272765116037,"20220901T1615"
"24","HY Moutere at Kellings Rd",-41.25753005,173.00614754,1600514.99990673,5432654.00041794,"nelsontasman",185.5,101.219833333333,97.6,1.90061475409836,"20220901T1615"
"25","HY Nelson at Founders Park",-41.26167277,173.29556602,1624759.00014697,5432152.00023211,"nelsontasman",396.13,114.889,88.135,4.49458217507233,"20220901T1615"
"26","HY Nelson at Princes Dr",-41.28310651,173.2562315,1621457.0001364,5429782.99973666,"nelsontasman",335.73,99.0629411764706,95.56,3.51329007953118,"20220901T1615"
"27","HY Orphanage at Ngawhatu",-41.32394537,173.23181217,1619399.99994879,5425255.00049325,"nelsontasman",300.9,95.9126315789474,82,3.66951219512195,"20220901T1615"
"28","HY Richmond Weather at Race Course",-41.3273262,173.1854713,1615521.00034641,5424889.00002845,"nelsontasman",271.4,91.968125,73.06,3.71475499589379,"20220901T1615"
"29","HY Richmond Weather at TDC Roof",-41.34182694,173.18650448,1615604.00024751,5423279.00006531,"nelsontasman",277,92.0096428571429,81.5,3.39877300613497,"20220901T1615"
"30","HY Riwaka at Takaka Hill",-41.02675142,172.87713449,1589671.00040875,5458266.00027014,"nelsontasman",589.5,239.387441860465,222,2.65540540540541,"20220901T1615"
"31","HY Riwaka North at Littles",-41.03639187,172.90792962,1592261.00015207,5457199.000242,"nelsontasman",432.5,190.281111111111,189.36,2.28400929446557,"20220901T1615"
"32","HY Riwaka South at Moss Bush",-41.05259603,172.91781961,1593094.00013742,5455401.00050675,"nelsontasman",367,184.834590163934,177.04,2.07297785811116,"20220901T1615"
"33","HY Roding at Caretakers",-41.35673212,173.26180417,1621899.00004871,5421608.00009504,"nelsontasman",440,133.13253164557,114.25,3.85120350109409,"20220901T1615"
"34","HY Tadmor at Mudstone",-41.45071299,172.73628589,1577973.0001952,5411173.99996066,"nelsontasman",159.5,110.844782608696,110.095,1.44874880784777,"20220901T1615"
"35","HY Takaka at Canaan",-40.93986863,172.90820634,1592273.00037921,5467913.99985066,"nelsontasman",960.5,350.134827586207,326.45,2.9422576198499,"20220901T1615"
"36","HY Takaka at Harwoods",-41.02973014,172.79824836,1583039.99976497,5457923.00041379,"nelsontasman",645.71,237.586285714286,215.5,2.99633410672854,"20220901T1615"
"37","HY Takaka at Kotinga",-40.87045465,172.80908077,1583911.99959386,5475605.99962929,"nelsontasman",751.5,201.473870967742,177.54,4.23284893545117,"20220901T1615"
"38","HY Tapawera at WWTP",-41.38490989,172.81869477,1584840.99975892,5418497.00036123,"nelsontasman",121.74,121.74,121.74,1,"20220901T1615"
"39","HY Wai-iti at Belgrove",-41.45536724,172.95803403,1596495.00005276,5410690.00020855,"nelsontasman",177,99.7029032258065,102.88,1.72045101088647,"20220901T1615"
