site,date,rainfall_mm
HY Wai-iti at Belgrove,2017-05-10,9.861
HY Wai-iti at Belgrove,2017-05-11,30.621
HY Wai-iti at Belgrove,2017-05-12,0
HY Wai-iti at Belgrove,2017-05-13,0
HY Wai-iti at Belgrove,2017-05-14,0
HY Wai-iti at Belgrove,2017-05-15,0
HY Wai-iti at Belgrove,2017-05-16,1.038
HY Wai-iti at Belgrove,2017-05-17,53.805653
HY Wai-iti at Belgrove,2017-05-18,37.538347
HY Wai-iti at Belgrove,2017-05-19,1.038
HY Wai-iti at Belgrove,2017-05-20,2.595
HY Wai-iti at Belgrove,2017-05-21,0
HY Wai-iti at Belgrove,2017-05-22,0
HY Wai-iti at Belgrove,2017-05-23,0.519
HY Wai-iti at Belgrove,2017-05-24,0
HY Wai-iti at Belgrove,2017-05-25,0
HY Wai-iti at Belgrove,2017-05-26,7.266
HY Wai-iti at Belgrove,2017-05-27,14.532
HY Wai-iti at Belgrove,2017-05-28,0.519
HY Wai-iti at Belgrove,2017-05-29,0
HY Wai-iti at Belgrove,2017-05-30,0
HY Wai-iti at Belgrove,2017-05-31,0
HY Wai-iti at Belgrove,2017-06-01,0
HY Wai-iti at Belgrove,2017-06-02,0
HY Wai-iti at Belgrove,2017-06-03,0
HY Wai-iti at Belgrove,2017-06-04,3.114
HY Wai-iti at Belgrove,2017-06-05,1.038
HY Wai-iti at Belgrove,2017-06-06,0
HY Wai-iti at Belgrove,2017-06-07,0
HY Wai-iti at Belgrove,2017-06-08,0
HY Wai-iti at Belgrove,2017-06-09,0
HY Wai-iti at Belgrove,2017-06-10,0
HY Wai-iti at Belgrove,2017-06-11,0
HY Wai-iti at Belgrove,2017-06-12,2.595
HY Wai-iti at Belgrove,2017-06-13,11.937
HY Wai-iti at Belgrove,2017-06-14,0.519
HY Wai-iti at Belgrove,2017-06-15,0
HY Wai-iti at Belgrove,2017-06-16,0
HY Wai-iti at Belgrove,2017-06-17,0
HY Wai-iti at Belgrove,2017-06-18,0
HY Wai-iti at Belgrove,2017-06-19,0
HY Wai-iti at Belgrove,2017-06-20,0
HY Wai-iti at Belgrove,2017-06-21,0
HY Wai-iti at Belgrove,2017-06-22,0
HY Wai-iti at Belgrove,2017-06-23,2.715
HY Wai-iti at Belgrove,2017-06-24,2.172
HY Wai-iti at Belgrove,2017-06-25,0
HY Wai-iti at Belgrove,2017-06-26,0
HY Wai-iti at Belgrove,2017-06-27,0
