site,date,rainfall_mm
HY Wai-iti at Belgrove,2020-05-09,0
HY Wai-iti at Belgrove,2020-05-10,0
HY Wai-iti at Belgrove,2020-05-11,0
HY Wai-iti at Belgrove,2020-05-12,0
HY Wai-iti at Belgrove,2020-05-13,0
HY Wai-iti at Belgrove,2020-05-14,0
HY Wai-iti at Belgrove,2020-05-15,0
HY Wai-iti at Belgrove,2020-05-16,0
HY Wai-iti at Belgrove,2020-05-17,0
HY Wai-iti at Belgrove,2020-05-18,0
HY Wai-iti at Belgrove,2020-05-19,0
HY Wai-iti at Belgrove,2020-05-20,0
HY Wai-iti at Belgrove,2020-05-21,0
HY Wai-iti at Belgrove,2020-05-22,0
HY Wai-iti at Belgrove,2020-05-23,0
HY Wai-iti at Belgrove,2020-05-24,26.00566
HY Wai-iti at Belgrove,2020-05-25,23.367342
HY Wai-iti at Belgrove,2020-05-26,0
HY Wai-iti at Belgrove,2020-05-27,0
HY Wai-iti at Belgrove,2020-05-28,0
HY Wai-iti at Belgrove,2020-05-29,2.545
HY Wai-iti at Belgrove,2020-05-30,0
HY Wai-iti at Belgrove,2020-05-31,0
HY Wai-iti at Belgrove,2020-06-01,0
HY Wai-iti at Belgrove,2020-06-02,0
HY Wai-iti at Belgrove,2020-06-03,11.707
HY Wai-iti at Belgrove,2020-06-04,29.013
HY Wai-iti at Belgrove,2020-06-05,0
HY Wai-iti at Belgrove,2020-06-06,0.509
HY Wai-iti at Belgrove,2020-06-07,0
HY Wai-iti at Belgrove,2020-06-08,0
HY Wai-iti at Belgrove,2020-06-09,0
HY Wai-iti at Belgrove,2020-06-10,0
HY Wai-iti at Belgrove,2020-06-11,0
HY Wai-iti at Belgrove,2020-06-12,0
HY Wai-iti at Belgrove,2020-06-13,0
HY Wai-iti at Belgrove,2020-06-14,0
HY Wai-iti at Belgrove,2020-06-15,0.509
HY Wai-iti at Belgrove,2020-06-16,1.018
HY Wai-iti at Belgrove,2020-06-17,2.036
HY Wai-iti at Belgrove,2020-06-18,8.144
HY Wai-iti at Belgrove,2020-06-19,11.198
HY Wai-iti at Belgrove,2020-06-20,0
HY Wai-iti at Belgrove,2020-06-21,0
HY Wai-iti at Belgrove,2020-06-22,0
HY Wai-iti at Belgrove,2020-06-23,0
HY Wai-iti at Belgrove,2020-06-24,0
HY Wai-iti at Belgrove,2020-06-25,0
HY Wai-iti at Belgrove,2020-06-26,0.5
HY Wai-iti at Belgrove,2020-06-27,1.5
HY Wai-iti at Belgrove,2020-06-28,26.5
HY Wai-iti at Belgrove,2020-06-29,0.5
HY Wai-iti at Belgrove,2020-06-30,0
HY Wai-iti at Belgrove,2020-07-01,0
HY Wai-iti at Belgrove,2020-07-02,0
HY Wai-iti at Belgrove,2020-07-03,0
HY Wai-iti at Belgrove,2020-07-04,0
HY Wai-iti at Belgrove,2020-07-05,27.657164
HY Wai-iti at Belgrove,2020-07-06,19.342836
HY Wai-iti at Belgrove,2020-07-07,0
HY Wai-iti at Belgrove,2020-07-08,0
HY Wai-iti at Belgrove,2020-07-09,0
HY Wai-iti at Belgrove,2020-07-10,0.5
HY Wai-iti at Belgrove,2020-07-11,0
HY Wai-iti at Belgrove,2020-07-12,1
HY Wai-iti at Belgrove,2020-07-13,0
HY Wai-iti at Belgrove,2020-07-14,0
HY Wai-iti at Belgrove,2020-07-15,0
HY Wai-iti at Belgrove,2020-07-16,0
HY Wai-iti at Belgrove,2020-07-17,0
HY Wai-iti at Belgrove,2020-07-18,0
HY Wai-iti at Belgrove,2020-07-19,3
HY Wai-iti at Belgrove,2020-07-20,0.5
HY Wai-iti at Belgrove,2020-07-21,13.5
HY Wai-iti at Belgrove,2020-07-22,0
HY Wai-iti at Belgrove,2020-07-23,0.5
HY Wai-iti at Belgrove,2020-07-24,0
HY Wai-iti at Belgrove,2020-07-25,0
HY Wai-iti at Belgrove,2020-07-26,0
HY Wai-iti at Belgrove,2020-07-27,0
HY Wai-iti at Belgrove,2020-07-28,0
HY Wai-iti at Belgrove,2020-07-29,0
HY Wai-iti at Belgrove,2020-07-30,0
HY Wai-iti at Belgrove,2020-07-31,0.5
HY Wai-iti at Belgrove,2020-08-01,0.5
HY Wai-iti at Belgrove,2020-08-02,0
HY Wai-iti at Belgrove,2020-08-03,0
HY Wai-iti at Belgrove,2020-08-04,0
HY Wai-iti at Belgrove,2020-08-05,0
HY Wai-iti at Belgrove,2020-08-06,10.994
HY Wai-iti at Belgrove,2020-08-07,0
HY Wai-iti at Belgrove,2020-08-08,0
HY Wai-iti at Belgrove,2020-08-09,0
HY Wai-iti at Belgrove,2020-08-10,0
HY Wai-iti at Belgrove,2020-08-11,0
HY Wai-iti at Belgrove,2020-08-12,0
HY Wai-iti at Belgrove,2020-08-13,0
HY Wai-iti at Belgrove,2020-08-14,0
HY Wai-iti at Belgrove,2020-08-15,0
HY Wai-iti at Belgrove,2020-08-16,0
HY Wai-iti at Belgrove,2020-08-17,0
HY Wai-iti at Belgrove,2020-08-18,0
HY Wai-iti at Belgrove,2020-08-19,14.818
HY Wai-iti at Belgrove,2020-08-20,4.302
HY Wai-iti at Belgrove,2020-08-21,6.692
HY Wai-iti at Belgrove,2020-08-22,0
HY Wai-iti at Belgrove,2020-08-23,11.33773
HY Wai-iti at Belgrove,2020-08-24,13.9962697
HY Wai-iti at Belgrove,2020-08-25,2.868
HY Wai-iti at Belgrove,2020-08-26,1.912
HY Wai-iti at Belgrove,2020-08-27,0
HY Wai-iti at Belgrove,2020-08-28,0
HY Wai-iti at Belgrove,2020-08-29,0
HY Wai-iti at Belgrove,2020-08-30,0
HY Wai-iti at Belgrove,2020-08-31,0
HY Wai-iti at Belgrove,2020-09-01,18.642
HY Wai-iti at Belgrove,2020-09-02,0.956
HY Wai-iti at Belgrove,2020-09-03,0.478
HY Wai-iti at Belgrove,2020-09-04,0
HY Wai-iti at Belgrove,2020-09-05,2.255
HY Wai-iti at Belgrove,2020-09-06,4.51
HY Wai-iti at Belgrove,2020-09-07,0
HY Wai-iti at Belgrove,2020-09-08,0
HY Wai-iti at Belgrove,2020-09-09,0
HY Wai-iti at Belgrove,2020-09-10,0.451
HY Wai-iti at Belgrove,2020-09-11,0.451
HY Wai-iti at Belgrove,2020-09-12,0
HY Wai-iti at Belgrove,2020-09-13,0
HY Wai-iti at Belgrove,2020-09-14,0.451
HY Wai-iti at Belgrove,2020-09-15,11.275
HY Wai-iti at Belgrove,2020-09-16,0
HY Wai-iti at Belgrove,2020-09-17,4.3363415
HY Wai-iti at Belgrove,2020-09-18,15.958658
HY Wai-iti at Belgrove,2020-09-19,0
HY Wai-iti at Belgrove,2020-09-20,0
HY Wai-iti at Belgrove,2020-09-21,0
HY Wai-iti at Belgrove,2020-09-22,0
HY Wai-iti at Belgrove,2020-09-23,1.353
HY Wai-iti at Belgrove,2020-09-24,0
HY Wai-iti at Belgrove,2020-09-25,0.549
HY Wai-iti at Belgrove,2020-09-26,11.529
HY Wai-iti at Belgrove,2020-09-27,23.058
HY Wai-iti at Belgrove,2020-09-28,12.5541935
HY Wai-iti at Belgrove,2020-09-29,8.307806
HY Wai-iti at Belgrove,2020-09-30,0
HY Wai-iti at Belgrove,2020-10-01,0
HY Wai-iti at Belgrove,2020-10-02,0
HY Wai-iti at Belgrove,2020-10-03,0
HY Wai-iti at Belgrove,2020-10-04,0
HY Wai-iti at Belgrove,2020-10-05,0
HY Wai-iti at Belgrove,2020-10-06,0
HY Wai-iti at Belgrove,2020-10-07,0
HY Wai-iti at Belgrove,2020-10-08,0
HY Wai-iti at Belgrove,2020-10-09,0
HY Wai-iti at Belgrove,2020-10-10,10.428
HY Wai-iti at Belgrove,2020-10-11,2.844
HY Wai-iti at Belgrove,2020-10-12,0
HY Wai-iti at Belgrove,2020-10-13,0.474
HY Wai-iti at Belgrove,2020-10-14,30.81
HY Wai-iti at Belgrove,2020-10-15,0
HY Wai-iti at Belgrove,2020-10-16,0
HY Wai-iti at Belgrove,2020-10-17,0.474
HY Wai-iti at Belgrove,2020-10-18,1.422
HY Wai-iti at Belgrove,2020-10-19,17.064
HY Wai-iti at Belgrove,2020-10-20,0
HY Wai-iti at Belgrove,2020-10-21,0
HY Wai-iti at Belgrove,2020-10-22,0
HY Wai-iti at Belgrove,2020-10-23,0
HY Wai-iti at Belgrove,2020-10-24,0
HY Wai-iti at Belgrove,2020-10-25,0
HY Wai-iti at Belgrove,2020-10-26,1.6043077
HY Wai-iti at Belgrove,2020-10-27,17.829692
HY Wai-iti at Belgrove,2020-10-28,0.474
HY Wai-iti at Belgrove,2020-10-29,6.636
HY Wai-iti at Belgrove,2020-10-30,0
HY Wai-iti at Belgrove,2020-10-31,2.525
HY Wai-iti at Belgrove,2020-11-01,0
HY Wai-iti at Belgrove,2020-11-02,16.665
HY Wai-iti at Belgrove,2020-11-03,17.675
HY Wai-iti at Belgrove,2020-11-04,11.615
HY Wai-iti at Belgrove,2020-11-05,0
HY Wai-iti at Belgrove,2020-11-06,1.01
HY Wai-iti at Belgrove,2020-11-07,10.402487
HY Wai-iti at Belgrove,2020-11-08,75.952513
HY Wai-iti at Belgrove,2020-11-09,0
HY Wai-iti at Belgrove,2020-11-10,0
HY Wai-iti at Belgrove,2020-11-11,0
HY Wai-iti at Belgrove,2020-11-12,0
HY Wai-iti at Belgrove,2020-11-13,0
HY Wai-iti at Belgrove,2020-11-14,0
HY Wai-iti at Belgrove,2020-11-15,0
HY Wai-iti at Belgrove,2020-11-16,0
HY Wai-iti at Belgrove,2020-11-17,0
HY Wai-iti at Belgrove,2020-11-18,26.901
HY Wai-iti at Belgrove,2020-11-19,1.098
HY Wai-iti at Belgrove,2020-11-20,0
HY Wai-iti at Belgrove,2020-11-21,0
HY Wai-iti at Belgrove,2020-11-22,0
HY Wai-iti at Belgrove,2020-11-23,7.425
HY Wai-iti at Belgrove,2020-11-24,3.96
HY Wai-iti at Belgrove,2020-11-25,1.485
HY Wai-iti at Belgrove,2020-11-26,0
HY Wai-iti at Belgrove,2020-11-27,0
HY Wai-iti at Belgrove,2020-11-28,0
HY Wai-iti at Belgrove,2020-11-29,6.435
HY Wai-iti at Belgrove,2020-11-30,22.77
HY Wai-iti at Belgrove,2020-12-01,0
HY Wai-iti at Belgrove,2020-12-02,0
HY Wai-iti at Belgrove,2020-12-03,0
HY Wai-iti at Belgrove,2020-12-04,0
HY Wai-iti at Belgrove,2020-12-05,1.98
HY Wai-iti at Belgrove,2020-12-06,0
HY Wai-iti at Belgrove,2020-12-07,4.455
HY Wai-iti at Belgrove,2020-12-08,0
HY Wai-iti at Belgrove,2020-12-09,0.495
HY Wai-iti at Belgrove,2020-12-10,1.485
HY Wai-iti at Belgrove,2020-12-11,0
HY Wai-iti at Belgrove,2020-12-12,0.495
HY Wai-iti at Belgrove,2020-12-13,0
HY Wai-iti at Belgrove,2020-12-14,0
HY Wai-iti at Belgrove,2020-12-15,0
HY Wai-iti at Belgrove,2020-12-16,0
HY Wai-iti at Belgrove,2020-12-17,0
HY Wai-iti at Belgrove,2020-12-18,0
HY Wai-iti at Belgrove,2020-12-19,0
HY Wai-iti at Belgrove,2020-12-20,0
HY Wai-iti at Belgrove,2020-12-21,1.485
HY Wai-iti at Belgrove,2020-12-22,11.385
HY Wai-iti at Belgrove,2020-12-23,14.355
HY Wai-iti at Belgrove,2020-12-24,9.405
HY Wai-iti at Belgrove,2020-12-25,1.485
HY Wai-iti at Belgrove,2020-12-26,11.88
HY Wai-iti at Belgrove,2020-12-27,0
HY Wai-iti at Belgrove,2020-12-28,0
HY Wai-iti at Belgrove,2020-12-29,0
HY Wai-iti at Belgrove,2020-12-30,0
HY Wai-iti at Belgrove,2020-12-31,0
HY Wai-iti at Belgrove,2021-01-01,0
HY Wai-iti at Belgrove,2021-01-02,0
HY Wai-iti at Belgrove,2021-01-03,0
HY Wai-iti at Belgrove,2021-01-04,0
HY Wai-iti at Belgrove,2021-01-05,0
HY Wai-iti at Belgrove,2021-01-06,0
HY Wai-iti at Belgrove,2021-01-07,0
HY Wai-iti at Belgrove,2021-01-08,0
HY Wai-iti at Belgrove,2021-01-09,1.98
HY Wai-iti at Belgrove,2021-01-10,0
HY Wai-iti at Belgrove,2021-01-11,0
HY Wai-iti at Belgrove,2021-01-12,0
HY Wai-iti at Belgrove,2021-01-13,0
HY Wai-iti at Belgrove,2021-01-14,0
HY Wai-iti at Belgrove,2021-01-15,0
HY Wai-iti at Belgrove,2021-01-16,0
HY Wai-iti at Belgrove,2021-01-17,12.177
HY Wai-iti at Belgrove,2021-01-18,2.255
HY Wai-iti at Belgrove,2021-01-19,1.353
HY Wai-iti at Belgrove,2021-01-20,12.628
HY Wai-iti at Belgrove,2021-01-21,3.608
HY Wai-iti at Belgrove,2021-01-22,0
HY Wai-iti at Belgrove,2021-01-23,0
HY Wai-iti at Belgrove,2021-01-24,0
HY Wai-iti at Belgrove,2021-01-25,0
HY Wai-iti at Belgrove,2021-01-26,0
HY Wai-iti at Belgrove,2021-01-27,0
HY Wai-iti at Belgrove,2021-01-28,0
HY Wai-iti at Belgrove,2021-01-29,0
HY Wai-iti at Belgrove,2021-01-30,0
HY Wai-iti at Belgrove,2021-01-31,0
HY Wai-iti at Belgrove,2021-02-01,0
HY Wai-iti at Belgrove,2021-02-02,0
HY Wai-iti at Belgrove,2021-02-03,0
HY Wai-iti at Belgrove,2021-02-04,0
HY Wai-iti at Belgrove,2021-02-05,0
HY Wai-iti at Belgrove,2021-02-06,0
HY Wai-iti at Belgrove,2021-02-07,0
HY Wai-iti at Belgrove,2021-02-08,0
HY Wai-iti at Belgrove,2021-02-09,9.025
HY Wai-iti at Belgrove,2021-02-10,6.65
HY Wai-iti at Belgrove,2021-02-11,0
HY Wai-iti at Belgrove,2021-02-12,0
HY Wai-iti at Belgrove,2021-02-13,0
HY Wai-iti at Belgrove,2021-02-14,0
HY Wai-iti at Belgrove,2021-02-15,0
HY Wai-iti at Belgrove,2021-02-16,0
HY Wai-iti at Belgrove,2021-02-17,0
HY Wai-iti at Belgrove,2021-02-18,0
HY Wai-iti at Belgrove,2021-02-19,0
HY Wai-iti at Belgrove,2021-02-20,0
HY Wai-iti at Belgrove,2021-02-21,0
HY Wai-iti at Belgrove,2021-02-22,0
HY Wai-iti at Belgrove,2021-02-23,0
HY Wai-iti at Belgrove,2021-02-24,0
HY Wai-iti at Belgrove,2021-02-25,14.725
HY Wai-iti at Belgrove,2021-02-26,1.425
HY Wai-iti at Belgrove,2021-02-27,0
HY Wai-iti at Belgrove,2021-02-28,0
HY Wai-iti at Belgrove,2021-03-01,10.6363354
HY Wai-iti at Belgrove,2021-03-02,15.013665
HY Wai-iti at Belgrove,2021-03-03,0.475
HY Wai-iti at Belgrove,2021-03-04,0
HY Wai-iti at Belgrove,2021-03-05,0
HY Wai-iti at Belgrove,2021-03-06,14.55
HY Wai-iti at Belgrove,2021-03-07,0.485
HY Wai-iti at Belgrove,2021-03-08,0
HY Wai-iti at Belgrove,2021-03-09,0
HY Wai-iti at Belgrove,2021-03-10,1.455
HY Wai-iti at Belgrove,2021-03-11,0
HY Wai-iti at Belgrove,2021-03-12,0
HY Wai-iti at Belgrove,2021-03-13,0
HY Wai-iti at Belgrove,2021-03-14,0
HY Wai-iti at Belgrove,2021-03-15,0
HY Wai-iti at Belgrove,2021-03-16,0.485
HY Wai-iti at Belgrove,2021-03-17,0
HY Wai-iti at Belgrove,2021-03-18,0
HY Wai-iti at Belgrove,2021-03-19,0
HY Wai-iti at Belgrove,2021-03-20,0
HY Wai-iti at Belgrove,2021-03-21,0
HY Wai-iti at Belgrove,2021-03-22,0
HY Wai-iti at Belgrove,2021-03-23,0
HY Wai-iti at Belgrove,2021-03-24,0
HY Wai-iti at Belgrove,2021-03-25,0
HY Wai-iti at Belgrove,2021-03-26,0
HY Wai-iti at Belgrove,2021-03-27,1.94
HY Wai-iti at Belgrove,2021-03-28,6.305
HY Wai-iti at Belgrove,2021-03-29,2.91
HY Wai-iti at Belgrove,2021-03-30,4.85
HY Wai-iti at Belgrove,2021-03-31,45.59
HY Wai-iti at Belgrove,2021-04-01,0.485
HY Wai-iti at Belgrove,2021-04-02,0.4466616
HY Wai-iti at Belgrove,2021-04-03,0.5233384
HY Wai-iti at Belgrove,2021-04-04,0
HY Wai-iti at Belgrove,2021-04-05,0
HY Wai-iti at Belgrove,2021-04-06,0
HY Wai-iti at Belgrove,2021-04-07,0
HY Wai-iti at Belgrove,2021-04-08,0
HY Wai-iti at Belgrove,2021-04-09,2.3067289
HY Wai-iti at Belgrove,2021-04-10,54.06927
HY Wai-iti at Belgrove,2021-04-11,0
HY Wai-iti at Belgrove,2021-04-12,1.458
HY Wai-iti at Belgrove,2021-04-13,1.944
HY Wai-iti at Belgrove,2021-04-14,0.486
HY Wai-iti at Belgrove,2021-04-15,0
HY Wai-iti at Belgrove,2021-04-16,2.916
HY Wai-iti at Belgrove,2021-04-17,0
HY Wai-iti at Belgrove,2021-04-18,0
HY Wai-iti at Belgrove,2021-04-19,0
HY Wai-iti at Belgrove,2021-04-20,0
HY Wai-iti at Belgrove,2021-04-21,0
HY Wai-iti at Belgrove,2021-04-22,0
HY Wai-iti at Belgrove,2021-04-23,0.972
HY Wai-iti at Belgrove,2021-04-24,0
HY Wai-iti at Belgrove,2021-04-25,0
HY Wai-iti at Belgrove,2021-04-26,1.944
HY Wai-iti at Belgrove,2021-04-27,0.65901
HY Wai-iti at Belgrove,2021-04-28,0.31299
HY Wai-iti at Belgrove,2021-04-29,0
HY Wai-iti at Belgrove,2021-04-30,0
HY Wai-iti at Belgrove,2021-05-01,0
HY Wai-iti at Belgrove,2021-05-02,0
HY Wai-iti at Belgrove,2021-05-03,0
HY Wai-iti at Belgrove,2021-05-04,0
HY Wai-iti at Belgrove,2021-05-05,0
HY Wai-iti at Belgrove,2021-05-06,0
HY Wai-iti at Belgrove,2021-05-07,0
HY Wai-iti at Belgrove,2021-05-08,0.486
HY Wai-iti at Belgrove,2021-05-09,0.972
HY Wai-iti at Belgrove,2021-05-10,2.916
HY Wai-iti at Belgrove,2021-05-11,11.178
HY Wai-iti at Belgrove,2021-05-12,13.8689962
HY Wai-iti at Belgrove,2021-05-13,0.2250038
HY Wai-iti at Belgrove,2021-05-14,0.4377283
HY Wai-iti at Belgrove,2021-05-15,4.908272
HY Wai-iti at Belgrove,2021-05-16,16.038
HY Wai-iti at Belgrove,2021-05-17,0
HY Wai-iti at Belgrove,2021-05-18,4.86
HY Wai-iti at Belgrove,2021-05-19,0
HY Wai-iti at Belgrove,2021-05-20,0
HY Wai-iti at Belgrove,2021-05-21,0
HY Wai-iti at Belgrove,2021-05-22,0
HY Wai-iti at Belgrove,2021-05-23,0
HY Wai-iti at Belgrove,2021-05-24,0
HY Wai-iti at Belgrove,2021-05-25,0
HY Wai-iti at Belgrove,2021-05-26,0
HY Wai-iti at Belgrove,2021-05-27,0
HY Wai-iti at Belgrove,2021-05-28,3.4423673
HY Wai-iti at Belgrove,2021-05-29,69.86563
HY Wai-iti at Belgrove,2021-05-30,0.492
HY Wai-iti at Belgrove,2021-05-31,0
HY Wai-iti at Belgrove,2021-06-01,0
HY Wai-iti at Belgrove,2021-06-02,0
HY Wai-iti at Belgrove,2021-06-03,0
HY Wai-iti at Belgrove,2021-06-04,0
HY Wai-iti at Belgrove,2021-06-05,2.952
HY Wai-iti at Belgrove,2021-06-06,25.092
HY Wai-iti at Belgrove,2021-06-07,5.904
HY Wai-iti at Belgrove,2021-06-08,0
HY Wai-iti at Belgrove,2021-06-09,0
HY Wai-iti at Belgrove,2021-06-10,0
HY Wai-iti at Belgrove,2021-06-11,0
HY Wai-iti at Belgrove,2021-06-12,0
HY Wai-iti at Belgrove,2021-06-13,3.936
HY Wai-iti at Belgrove,2021-06-14,1.968
HY Wai-iti at Belgrove,2021-06-15,0
HY Wai-iti at Belgrove,2021-06-16,0.984
HY Wai-iti at Belgrove,2021-06-17,3.444
HY Wai-iti at Belgrove,2021-06-18,0.984
HY Wai-iti at Belgrove,2021-06-19,4.92
HY Wai-iti at Belgrove,2021-06-20,0
HY Wai-iti at Belgrove,2021-06-21,0
HY Wai-iti at Belgrove,2021-06-22,0
HY Wai-iti at Belgrove,2021-06-23,0
HY Wai-iti at Belgrove,2021-06-24,0
HY Wai-iti at Belgrove,2021-06-25,0
HY Wai-iti at Belgrove,2021-06-26,5.904
HY Wai-iti at Belgrove,2021-06-27,25.092
HY Wai-iti at Belgrove,2021-06-28,6.888
HY Wai-iti at Belgrove,2021-06-29,0
HY Wai-iti at Belgrove,2021-06-30,0
HY Wai-iti at Belgrove,2021-07-01,0
HY Wai-iti at Belgrove,2021-07-02,0
HY Wai-iti at Belgrove,2021-07-03,0
HY Wai-iti at Belgrove,2021-07-04,0
HY Wai-iti at Belgrove,2021-07-05,0
HY Wai-iti at Belgrove,2021-07-06,33.93
HY Wai-iti at Belgrove,2021-07-07,2.088
HY Wai-iti at Belgrove,2021-07-08,0
HY Wai-iti at Belgrove,2021-07-09,0
HY Wai-iti at Belgrove,2021-07-10,0
HY Wai-iti at Belgrove,2021-07-11,0
HY Wai-iti at Belgrove,2021-07-12,0
HY Wai-iti at Belgrove,2021-07-13,0
HY Wai-iti at Belgrove,2021-07-14,0
HY Wai-iti at Belgrove,2021-07-15,19.19
HY Wai-iti at Belgrove,2021-07-16,37.65415
HY Wai-iti at Belgrove,2021-07-17,43.65085
HY Wai-iti at Belgrove,2021-07-18,15.655
HY Wai-iti at Belgrove,2021-07-19,0.505
HY Wai-iti at Belgrove,2021-07-20,0
HY Wai-iti at Belgrove,2021-07-21,5.555
HY Wai-iti at Belgrove,2021-07-22,13.635
HY Wai-iti at Belgrove,2021-07-23,0
HY Wai-iti at Belgrove,2021-07-24,0
HY Wai-iti at Belgrove,2021-07-25,23.735
HY Wai-iti at Belgrove,2021-07-26,80.8
HY Wai-iti at Belgrove,2021-07-27,1.515
HY Wai-iti at Belgrove,2021-07-28,0
HY Wai-iti at Belgrove,2021-07-29,0
HY Wai-iti at Belgrove,2021-07-30,2.868
HY Wai-iti at Belgrove,2021-07-31,0
HY Wai-iti at Belgrove,2021-08-01,0
HY Wai-iti at Belgrove,2021-08-02,4.9632333
HY Wai-iti at Belgrove,2021-08-03,0.7727667
HY Wai-iti at Belgrove,2021-08-04,0
HY Wai-iti at Belgrove,2021-08-05,12.5997087
HY Wai-iti at Belgrove,2021-08-06,9.3882913
HY Wai-iti at Belgrove,2021-08-07,0
HY Wai-iti at Belgrove,2021-08-08,12.428
HY Wai-iti at Belgrove,2021-08-09,0
HY Wai-iti at Belgrove,2021-08-10,0
HY Wai-iti at Belgrove,2021-08-11,0
HY Wai-iti at Belgrove,2021-08-12,0
HY Wai-iti at Belgrove,2021-08-13,7.408
HY Wai-iti at Belgrove,2021-08-14,0.926
HY Wai-iti at Belgrove,2021-08-15,0
HY Wai-iti at Belgrove,2021-08-16,5.203044
HY Wai-iti at Belgrove,2021-08-17,17.483956
HY Wai-iti at Belgrove,2021-08-18,6.945
HY Wai-iti at Belgrove,2021-08-19,0
HY Wai-iti at Belgrove,2021-08-20,0.926
HY Wai-iti at Belgrove,2021-08-21,0.463
HY Wai-iti at Belgrove,2021-08-22,0
HY Wai-iti at Belgrove,2021-08-23,0
HY Wai-iti at Belgrove,2021-08-24,0
HY Wai-iti at Belgrove,2021-08-25,0
HY Wai-iti at Belgrove,2021-08-26,1.389
HY Wai-iti at Belgrove,2021-08-27,27.831581
HY Wai-iti at Belgrove,2021-08-28,27.2654191
HY Wai-iti at Belgrove,2021-08-29,6.019
HY Wai-iti at Belgrove,2021-08-30,0
HY Wai-iti at Belgrove,2021-08-31,0
HY Wai-iti at Belgrove,2021-09-01,0
HY Wai-iti at Belgrove,2021-09-02,0
HY Wai-iti at Belgrove,2021-09-03,0
HY Wai-iti at Belgrove,2021-09-04,0
HY Wai-iti at Belgrove,2021-09-05,0
HY Wai-iti at Belgrove,2021-09-06,0
HY Wai-iti at Belgrove,2021-09-07,10.649
HY Wai-iti at Belgrove,2021-09-08,0.926
HY Wai-iti at Belgrove,2021-09-09,0
HY Wai-iti at Belgrove,2021-09-10,14.816
HY Wai-iti at Belgrove,2021-09-11,0.463
HY Wai-iti at Belgrove,2021-09-12,0
HY Wai-iti at Belgrove,2021-09-13,9.26
HY Wai-iti at Belgrove,2021-09-14,0
HY Wai-iti at Belgrove,2021-09-15,0
HY Wai-iti at Belgrove,2021-09-16,0
HY Wai-iti at Belgrove,2021-09-17,0
HY Wai-iti at Belgrove,2021-09-18,0
HY Wai-iti at Belgrove,2021-09-19,0
HY Wai-iti at Belgrove,2021-09-20,0
HY Wai-iti at Belgrove,2021-09-21,0
HY Wai-iti at Belgrove,2021-09-22,24.321434
HY Wai-iti at Belgrove,2021-09-23,78.886566
HY Wai-iti at Belgrove,2021-09-24,0
HY Wai-iti at Belgrove,2021-09-25,12.768
HY Wai-iti at Belgrove,2021-09-26,1.064
HY Wai-iti at Belgrove,2021-09-27,0
HY Wai-iti at Belgrove,2021-09-28,0
HY Wai-iti at Belgrove,2021-09-29,0
HY Wai-iti at Belgrove,2021-09-30,0
HY Wai-iti at Belgrove,2021-10-01,0
HY Wai-iti at Belgrove,2021-10-02,0
HY Wai-iti at Belgrove,2021-10-03,1.82
HY Wai-iti at Belgrove,2021-10-04,11.4487171
HY Wai-iti at Belgrove,2021-10-05,1.746283
HY Wai-iti at Belgrove,2021-10-06,14.88
HY Wai-iti at Belgrove,2021-10-07,13.888
HY Wai-iti at Belgrove,2021-10-08,0
HY Wai-iti at Belgrove,2021-10-09,0.496
HY Wai-iti at Belgrove,2021-10-10,0
HY Wai-iti at Belgrove,2021-10-11,1.488
HY Wai-iti at Belgrove,2021-10-12,1.488
HY Wai-iti at Belgrove,2021-10-13,0
HY Wai-iti at Belgrove,2021-10-14,0
HY Wai-iti at Belgrove,2021-10-15,0
HY Wai-iti at Belgrove,2021-10-16,0
HY Wai-iti at Belgrove,2021-10-17,29.76
HY Wai-iti at Belgrove,2021-10-18,1.984
HY Wai-iti at Belgrove,2021-10-19,0
HY Wai-iti at Belgrove,2021-10-20,0
HY Wai-iti at Belgrove,2021-10-21,0
HY Wai-iti at Belgrove,2021-10-22,0
HY Wai-iti at Belgrove,2021-10-23,0
HY Wai-iti at Belgrove,2021-10-24,0
HY Wai-iti at Belgrove,2021-10-25,0
HY Wai-iti at Belgrove,2021-10-26,0.992
HY Wai-iti at Belgrove,2021-10-27,0.992
HY Wai-iti at Belgrove,2021-10-28,4.84
HY Wai-iti at Belgrove,2021-10-29,12.584
HY Wai-iti at Belgrove,2021-10-30,0
HY Wai-iti at Belgrove,2021-10-31,0
HY Wai-iti at Belgrove,2021-11-01,0
HY Wai-iti at Belgrove,2021-11-02,0.484
HY Wai-iti at Belgrove,2021-11-03,0
HY Wai-iti at Belgrove,2021-11-04,0
HY Wai-iti at Belgrove,2021-11-05,0
HY Wai-iti at Belgrove,2021-11-06,0
HY Wai-iti at Belgrove,2021-11-07,0
HY Wai-iti at Belgrove,2021-11-08,0
HY Wai-iti at Belgrove,2021-11-09,0
HY Wai-iti at Belgrove,2021-11-10,0
HY Wai-iti at Belgrove,2021-11-11,3.388
HY Wai-iti at Belgrove,2021-11-12,0
HY Wai-iti at Belgrove,2021-11-13,11.616
HY Wai-iti at Belgrove,2021-11-14,3.388
HY Wai-iti at Belgrove,2021-11-15,2.42
HY Wai-iti at Belgrove,2021-11-16,3.872
HY Wai-iti at Belgrove,2021-11-17,2.42
HY Wai-iti at Belgrove,2021-11-18,0
HY Wai-iti at Belgrove,2021-11-19,0
HY Wai-iti at Belgrove,2021-11-20,0
HY Wai-iti at Belgrove,2021-11-21,13.068
HY Wai-iti at Belgrove,2021-11-22,0
