"","site","latitude","longitude","easting","northing","region","rainfall_total","rainfall_total_avg_past5years","rainfall_total_medianhistoric","historic_ratio","summary_at"
"1","GW 2166 - Tui Close",-41.12075266,173.01484255,1601246.00023027,5447838.00041189,"nelsontasman",66.5,84.464,81,0.820987654320988,"20221003T0935"
"2","GW 24035 - Mapua",-41.25059065,173.09544987,1607997.00035303,5433419.99989191,"nelsontasman",72.5,69.554,72.5,1,"20221003T0935"
"3","GW 8110 - Weka Rd",-41.18628389,173.02592283,1602173.99997577,5440563.00005561,"nelsontasman",70.5,84.6394117647059,82.03,0.859441667682555,"20221003T0935"
"4","HY Anatoki at Happy Sams",-40.88693155,172.74830592,1578796.00019249,5473763.99967267,"nelsontasman",258,298.215,284.61,0.906503636555286,"20221003T0935"
"5","HY Anatoki at Paradise",-40.91106635,172.6177027,1567804.99987288,5471044.99989747,"nelsontasman",524,497.047692307692,524,1,"20221003T0935"
"6","HY Aorere at Devils Boots",-40.74582036,172.62766457,1568565.99986127,5489392.00006313,"nelsontasman",182.5,240.0834375,253.97,0.718588809701933,"20221003T0935"
"7","HY Aorere at Perry Saddle",-40.89514547,172.42941683,1551936.99964452,5472726.00012321,"nelsontasman",433,476.808181818182,477.22,0.907338334520766,"20221003T0935"
"8","HY Aorere at Salisbury Br",-40.80248184,172.53289914,1560598.99960814,5483064.00026478,"nelsontasman",351.5,360.898333333333,385.585,0.911601851731784,"20221003T0935"
"9","HY Baton at Baton Flats",-41.31974937,172.72399398,1576900.00038296,5425710.0003619,"nelsontasman",146.5,136.567142857143,138.67,1.05646498882238,"20221003T0935"
"10","HY Brook at Third House",-41.32522478,173.32481811,1627182.99999262,5425087.99968989,"nelsontasman",264.5,167.14935483871,155.67,1.69910708550138,"20221003T0935"
"11","HY Buller at Longford",-41.76382361,172.3885712,1549176.00006055,5376265.00001659,"nelsontasman",121.52,164.895714285714,143.64,0.846003898635478,"20221003T0935"
"12","HY Collingwood at Repeater",-40.68401556,172.68320261,1573230.00027232,5496270.99954556,"nelsontasman",194,220.401818181818,250.3,0.775069916100679,"20221003T0935"
"13","HY Kainui Dam",-41.5108789,172.9542474,1596182.00033782,5404527.0000144,"nelsontasman",104.5,93.1711111111111,99.11,1.05438401775805,"20221003T0935"
"14","HY Lee at Trig F",-41.47918076,173.18828712,1615720.00009533,5408029.99980412,"nelsontasman",148,157.306176470588,150.58,0.982866250498074,"20221003T0935"
"15","HY Little Devil at Tarn",-40.98132244,172.65797463,1571226.99994536,5463259.99974976,"nelsontasman",290.5,330.203333333333,343,0.846938775510204,"20221003T0935"
"16","HY Maitai at Forks",-41.29309293,173.37000785,1630979.99961959,5428639.99945299,"nelsontasman",203,147.354285714286,140.72,1.4425810119386,"20221003T0935"
"17","HY Matakitaki at Horse Terrace Br",-42.00867992,172.35683832,1546742.0000138,5349059.99956322,"nelsontasman",160.5,239.6225,232.415,0.690575048942624,"20221003T0935"
"18","HY Motueka at Gorge",-41.63297696,172.91346089,1592792.00040098,5390968.99983397,"nelsontasman",107,108.578235294118,114.19,0.937034766617042,"20221003T0935"
"19","HY Motueka at Parker St",-41.10566512,172.9996189,1599968.00014723,5449512.99955609,"nelsontasman",73,88.486,73,1,"20221003T0935"
"20","HY Motueka at Red Hills",-41.70016099,173.03765387,1603133.0003336,5383513.00002761,"nelsontasman",113.5,107.818421052632,113.5,1,"20221003T0935"
"21","HY Motueka at Woodmans Bend",-41.12398843,172.95682822,1596375.99965035,5447477.99976986,"nelsontasman",79,103.478,94.235,0.838329707645779,"20221003T0935"
"22","HY Motueka at Woodstock",-41.25748375,172.82267643,1585145.00014952,5432643.99979522,"nelsontasman",105,112.261470588235,106.09,0.989725704590442,"20221003T0935"
"23","HY Motupiko at Christies",-41.61900492,172.80792179,1583997.9999364,5392505.99960006,"nelsontasman",106.5,110.41303030303,114,0.934210526315789,"20221003T0935"
"24","HY Motupipi at Reillys Bridge",-40.85607621,172.8316055,1585807.00027409,5477206.00034618,"nelsontasman",181.5,155.089375,149.005,1.21807993020368,"20221003T0935"
"25","HY Moutere at Kellings Rd",-41.25753005,173.00614754,1600514.99990673,5432654.00041794,"nelsontasman",74.5,93.538064516129,88.16,0.84505444646098,"20221003T0935"
"26","HY Nelson at Founders Park",-41.26167277,173.29556602,1624759.00014697,5432152.00023211,"nelsontasman",99,78.421,85.795,1.15391339821668,"20221003T0935"
"27","HY Nelson at Princes Dr",-41.28310651,173.2562315,1621457.0001364,5429782.99973666,"nelsontasman",87.5,80.3988235294118,83.11,1.05282156178559,"20221003T0935"
"28","HY Orphanage at Ngawhatu",-41.32394537,173.23181217,1619399.99994879,5425255.00049325,"nelsontasman",86.5,83.0026315789474,85.9,1.0069848661234,"20221003T0935"
"29","HY Richmond Weather at Race Course",-41.3273262,173.1854713,1615521.00034641,5424889.00002845,"nelsontasman",74,75.184375,71.61,1.03337522692361,"20221003T0935"
"30","HY Richmond Weather at TDC Roof",-41.34182694,173.18650448,1615604.00024751,5423279.00006531,"nelsontasman",81.5,83.7603571428571,84.025,0.969949419815531,"20221003T0935"
