"","site","latitude","longitude","easting","northing","region","rainfall_total","rainfall_total_avg_past5years","rainfall_total_medianhistoric","historic_ratio","summary_at"
"1","GW 2166 - Tui Close",-41.12075266,173.01484255,1601246.00023027,5447838.00041189,"nelsontasman",110.25,109.8384,113.88,0.968124341412013,"20220912T1029"
"2","GW 24035 - Mapua",-41.25059065,173.09544987,1607997.00035303,5433419.99989191,"nelsontasman",103.52,117.56,103.52,1,"20220912T1029"
"3","GW 8110 - Weka Rd",-41.18628389,173.02592283,1602173.99997577,5440563.00005561,"nelsontasman",92.83,104.513529411765,114.13,0.813370717602734,"20220912T1029"
"4","HY Anatoki at Happy Sams",-40.88693155,172.74830592,1578796.00019249,5473763.99967267,"nelsontasman",352.23,330.7853125,313.09,1.12501197738669,"20220912T1029"
"5","HY Anatoki at Paradise",-40.91106635,172.6177027,1567804.99987288,5471044.99989747,"nelsontasman",422.76,551.984615384615,616.08,0.686209583171017,"20220912T1029"
"6","HY Aorere at Devils Boots",-40.74582036,172.62766457,1568565.99986127,5489392.00006313,"nelsontasman",267.81,250.440625,247.5,1.08206060606061,"20220912T1029"
"7","HY Aorere at Perry Saddle",-40.89514547,172.42941683,1551936.99964452,5472726.00012321,"nelsontasman",412.83,493.922727272727,416.32,0.991617025365104,"20220912T1029"
"8","HY Aorere at Salisbury Br",-40.80248184,172.53289914,1560598.99960814,5483064.00026478,"nelsontasman",372.92,393.501666666667,340.655,1.09471459394402,"20220912T1029"
"9","HY Baton at Baton Flats",-41.31974937,172.72399398,1576900.00038296,5425710.0003619,"nelsontasman",160.77,155.774571428571,154.84,1.03829759752002,"20220912T1029"
"10","HY Brook at Third House",-41.32522478,173.32481811,1627182.99999262,5425087.99968989,"nelsontasman",149.35,177.708709677419,135.5,1.10221402214022,"20220912T1029"
"11","HY Buller at Longford",-41.76382361,172.3885712,1549176.00006055,5376265.00001659,"nelsontasman",86.89,141.299285714286,134.25,0.647225325884544,"20220912T1029"
"12","HY Collingwood at Repeater",-40.68401556,172.68320261,1573230.00027232,5496270.99954556,"nelsontasman",213.87,257.854545454545,213.87,1,"20220912T1029"
"13","HY Kainui Dam",-41.5108789,172.9542474,1596182.00033782,5404527.0000144,"nelsontasman",60.68,94.3722222222222,98.455,0.616322177644609,"20220912T1029"
"14","HY Lee at Trig F",-41.47918076,173.18828712,1615720.00009533,5408029.99980412,"nelsontasman",131.56,165.424117647059,151.55,0.868096337842296,"20220912T1029"
