date,average_daily_flow_m3ps
2001-10-31,76.548068
2001-11-01,124.735784
2001-11-02,169.20763
2001-11-03,121.04404
2001-11-04,100.804449
2001-11-05,74.022123
2001-11-06,60.819925
2001-11-07,52.945237
2001-11-08,47.247044
2001-11-09,42.26689
2001-11-10,42.44539
2001-11-11,45.08709
2001-11-12,39.79819
2001-11-13,39.192954
2001-11-14,113.579488
2001-11-15,152.9527251
2001-11-16,87.631
2001-11-17,66.38731
2001-11-18,54.798554
2001-11-19,47.087106
2001-11-20,46.265725
2001-11-21,50.85925
2001-11-22,202.96198
2001-11-23,383.8092
2001-11-24,243.27452
2001-11-25,148.469795
2001-11-26,110.482112
2001-11-27,90.030301
2001-11-28,83.85897
2001-11-29,78.310743
2001-11-30,67.66684
2001-12-01,71.42422
2001-12-02,183.26334
2001-12-03,201.1042442
2001-12-04,166.8404151
2001-12-05,151.650963
2001-12-06,294.14088
2001-12-07,422.81287
2001-12-08,227.637069
2001-12-09,323.8719
2001-12-10,272.0792
2001-12-11,191.888
2001-12-12,163.93241
2001-12-13,133.116866
2001-12-14,107.02654
2001-12-15,89.15382
2001-12-16,76.77644
2001-12-17,67.60526
2001-12-18,74.427
2001-12-19,75.1079541
2001-12-20,61.716217
2001-12-21,68.63003
2001-12-22,59.782062
2001-12-23,55.065714
2001-12-24,51.7997
2001-12-25,46.142211
2001-12-26,41.539789
2001-12-27,39.930795
2001-12-28,42.593917
2001-12-29,79.93252
2001-12-30,73.299259
2001-12-31,53.027166
2002-01-01,43.158961
2002-01-02,41.19405
2002-01-03,109.90149
2002-01-04,93.94126
2002-01-05,108.50564
2002-01-06,77.201611
2002-01-07,66.010543
2002-01-08,57.940503
2002-01-09,77.715684
2002-01-10,108.28085
2002-01-11,134.237728
2002-01-12,88.578444
2002-01-13,70.93373
2002-01-14,65.42526
2002-01-15,89.94342
2002-01-16,93.766237
2002-01-17,72.14908
2002-01-18,60.009174
2002-01-19,65.678478
2002-01-20,112.031715
2002-01-21,79.179083
2002-01-22,62.354583
2002-01-23,52.662644
2002-01-24,46.2194
2002-01-25,41.179861
2002-01-26,38.04273
